model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
BAAI/bge-large-en-v1.5,interquartile,1.4000000000000001,50,0.015419509107532176,[0.016597510373443983, 0.0, 0.029661016949152543]
BAAI/bge-large-en-v1.5,interquartile,1.4000000000000001,100,0.015419509107532176,[0.016597510373443983, 0.0, 0.029661016949152543]
BAAI/bge-large-en-v1.5,interquartile,1.5,50,0.013313667649950836,[0.01327433628318584, 0.0, 0.02666666666666667]
BAAI/bge-large-en-v1.5,interquartile,1.5,100,0.013313667649950836,[0.01327433628318584, 0.0, 0.02666666666666667]
BAAI/bge-large-en-v1.5,interquartile,1.6,50,0.012322212754801075,[0.009569377990430622, 0.0, 0.0273972602739726]
BAAI/bge-large-en-v1.5,interquartile,1.6,100,0.012322212754801075,[0.009569377990430622, 0.0, 0.0273972602739726]
BAAI/bge-large-en-v1.5,interquartile,1.7000000000000002,50,0.01129694835680751,[0.010416666666666666, 0.0, 0.023474178403755867]
BAAI/bge-large-en-v1.5,interquartile,1.7000000000000002,100,0.01129694835680751,[0.010416666666666666, 0.0, 0.023474178403755867]
BAAI/bge-large-en-v1.5,interquartile,1.8,50,0.010227061232086358,[0.005555555555555556, 0.0, 0.02512562814070352]
BAAI/bge-large-en-v1.5,interquartile,1.8,100,0.010227061232086358,[0.005555555555555556, 0.0, 0.02512562814070352]
BAAI/bge-large-en-v1.5,interquartile,1.9000000000000001,50,0.008916831032215647,[0.005917159763313609, 0.0, 0.020833333333333332]
BAAI/bge-large-en-v1.5,interquartile,1.9000000000000001,100,0.008916831032215647,[0.005917159763313609, 0.0, 0.020833333333333332]
BAAI/bge-large-en-v1.5,interquartile,2.0,50,0.0075952552531942386,[0.006211180124223602, 0.0, 0.016574585635359115]
BAAI/bge-large-en-v1.5,interquartile,2.0,100,0.0075952552531942386,[0.006211180124223602, 0.0, 0.016574585635359115]
BAAI/bge-large-en-v1.5,interquartile,2.1,50,0.008047920516954373,[0.006802721088435374, 0.0, 0.017341040462427744]
BAAI/bge-large-en-v1.5,interquartile,2.1,100,0.008047920516954373,[0.006802721088435374, 0.0, 0.017341040462427744]
BAAI/bge-large-en-v1.5,interquartile,2.2,50,0.008428563306612086,[0.006993006993006993, 0.0, 0.018292682926829267]
BAAI/bge-large-en-v1.5,interquartile,2.2,100,0.008428563306612086,[0.006993006993006993, 0.0, 0.018292682926829267]
BAAI/bge-large-en-v1.5,interquartile,2.3000000000000003,50,0.008683090024330901,[0.0072992700729927005, 0.0, 0.01875]
BAAI/bge-large-en-v1.5,interquartile,2.3000000000000003,100,0.008683090024330901,[0.0072992700729927005, 0.0, 0.01875]
BAAI/bge-large-en-v1.5,interquartile,2.4000000000000004,50,0.006838374762903065,[0.007936507936507936, 0.0, 0.012578616352201259]
BAAI/bge-large-en-v1.5,interquartile,2.4000000000000004,100,0.006838374762903065,[0.007936507936507936, 0.0, 0.012578616352201259]
BAAI/bge-large-en-v1.5,interquartile,2.5,50,0.007206301323948383,[0.008547008547008548, 0.0, 0.013071895424836602]
BAAI/bge-large-en-v1.5,interquartile,2.5,100,0.007206301323948383,[0.008547008547008548, 0.0, 0.013071895424836602]
BAAI/bge-large-en-v1.5,interquartile,2.6,50,0.007293447293447293,[0.008547008547008548, 0.0, 0.013333333333333334]
BAAI/bge-large-en-v1.5,interquartile,2.6,100,0.007293447293447293,[0.008547008547008548, 0.0, 0.013333333333333334]
BAAI/bge-large-en-v1.5,interquartile,2.7,50,0.00741521289466495,[0.008547008547008548, 0.0, 0.0136986301369863]
BAAI/bge-large-en-v1.5,interquartile,2.7,100,0.00741521289466495,[0.008547008547008548, 0.0, 0.0136986301369863]
BAAI/bge-large-en-v1.5,interquartile,2.8000000000000003,50,0.004629629629629629,[0.0, 0.0, 0.013888888888888888]
BAAI/bge-large-en-v1.5,interquartile,2.8000000000000003,100,0.004629629629629629,[0.0, 0.0, 0.013888888888888888]
BAAI/bge-large-en-v1.5,interquartile,2.9000000000000004,50,0.002347417840375587,[0.0, 0.0, 0.007042253521126761]
BAAI/bge-large-en-v1.5,interquartile,2.9000000000000004,100,0.002347417840375587,[0.0, 0.0, 0.007042253521126761]
BAAI/bge-large-en-v1.5,interquartile,3.0,50,0.0023809523809523807,[0.0, 0.0, 0.007142857142857143]
BAAI/bge-large-en-v1.5,interquartile,3.0,100,0.0023809523809523807,[0.0, 0.0, 0.007142857142857143]
BAAI/bge-large-en-v1.5,interquartile,3.1,50,0.0024509803921568627,[0.0, 0.0, 0.007352941176470588]
BAAI/bge-large-en-v1.5,interquartile,3.1,100,0.0024509803921568627,[0.0, 0.0, 0.007352941176470588]
BAAI/bge-large-en-v1.5,interquartile,3.2,50,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,interquartile,3.2,100,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,interquartile,3.3000000000000003,50,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,interquartile,3.3000000000000003,100,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,interquartile,3.4000000000000004,50,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
